category,category_ind,root_category
Бытовая техника -> Встраиваемая техника,0,Бытовая техника
Бытовая техника -> Климатическая техника,1,Бытовая техника
Бытовая техника -> Крупная техника для кухни,2,Бытовая техника
Бытовая техника -> Мелкая техника для кухни,3,Бытовая техника
Бытовая техника -> Техника для дома,4,Бытовая техника
Бытовая техника -> Техника для красоты и здоровья,5,Бытовая техника
Детские товары -> Детская комната,6,Детские товары
Детские товары -> Детская обувь,7,Детские товары
Детские товары -> Детская одежда,8,Детские товары
Детские товары -> Детские аксессуары,9,Детские товары
Детские товары -> Детские игрушки,10,Детские товары
Детские товары -> Детское питание,11,Детские товары
Детские товары -> Прогулки и путешествия,12,Детские товары
Детские товары -> Спортивные товары и активный отдых,13,Детские товары
Детские товары -> Товары для мам и малышей,14,Детские товары
Детские товары -> Хобби и творчество,15,Детские товары
Здоровье -> Витамины и БАДы,16,Здоровье
Здоровье -> Изделия медицинского назначения,17,Здоровье
Здоровье -> Лекарственные средства,18,Здоровье
Здоровье -> Лечебно-косметические средства,19,Здоровье
Здоровье -> Медицинские приборы,20,Здоровье
Здоровье -> Оптика,21,Здоровье
Здоровье -> Ортопедические изделия,22,Здоровье
Зоотовары -> Прочие товары и инструменты для животных,23,Зоотовары
Зоотовары -> Товары для кошек,24,Зоотовары
Зоотовары -> Товары для прочих животных,25,Зоотовары
Зоотовары -> Товары для собак,26,Зоотовары
Книги и канцелярия -> Канцелярия,27,Книги и канцелярия
Книги и канцелярия -> Книги,28,Книги и канцелярия
Книги и канцелярия -> Товары для школы,29,Книги и канцелярия
Красота и уход -> Косметические приборы,30,Красота и уход
Красота и уход -> Личная гигиена,31,Красота и уход
Красота и уход -> Макияж,32,Красота и уход
Красота и уход -> Маникюр и педикюр,33,Красота и уход
Красота и уход -> Парфюмерия,34,Красота и уход
Красота и уход -> Подарочные наборы косметики и парфюмерии,35,Красота и уход
Красота и уход -> Средства по уходу за телом,36,Красота и уход
Красота и уход -> Уход за волосами,37,Красота и уход
Красота и уход -> Уход за лицом,38,Красота и уход
Мебель -> Зеркала и стекла,39,Мебель
"Мебель -> Камины, печи и аксессуары",40,Мебель
Мебель -> Комплектующие и фурнитура для мебели,41,Мебель
Мебель -> Кровати и матрасы,42,Мебель
