category_ind,count
0,14
1,22
2,47
3,72
4,680
5,43
6,18
7,209
8,19
9,39
10,7
11,113
13,800
14,72
15,33
16,70
17,30
18,154
19,80
20,63
21,53
22,151
23,1
24,18
25,17
26,586
27,491
28,133
29,422
30,9
31,54
32,7
33,23
34,31563
35,45
36,88
37,3801
38,87
39,28
40,3
41,11
42,9284
43,26
44,3692
45,17
46,62
47,17
48,21760
49,53
52,2
54,288
55,18
56,92
57,699
58,70
59,5
60,10
61,4
62,6
63,9
64,5
65,6
67,78
68,9
69,7
70,4
71,4616
72,3055
73,5
74,10
75,2033
76,1122
77,7
78,22
79,37
80,6
81,3137
82,1489
83,6
84,13
85,11
86,3
87,670
88,1
89,974
90,15
91,67
92,13
93,4
95,10
96,38
97,1
98,1
99,8
100,20
101,15
103,293
104,6
105,186
106,324
107,21
108,16
109,540
110,2
111,4
112,4
113,10
114,8
116,15
117,9
118,7
119,78
120,165
122,11
123,19
124,15
125,8
126,11
127,248
128,22
129,11
130,1
131,193
132,1
133,23
134,5
137,4
141,5
142,4
143,29
144,26
145,4
146,10
147,12
148,17
149,23
150,8
151,8
152,201
153,29
154,25
155,161
156,26
157,21
158,151
159,356
160,67
161,32
162,9
163,4
164,58
165,21
166,28
167,1581
168,41
169,26
170,1684
171,746
172,3
173,3953
174,21
175,41
176,10
177,14
178,13
179,30
180,13
181,17
182,157
183,31
184,13
185,17
186,1
187,7
188,43
189,2
192,2
193,3
194,24
195,4
196,48
197,13
198,19
199,16
200,40
201,19
202,35
203,35
204,103
205,79
206,60
207,1088
208,42
209,66
210,49
211,48
212,169
213,54
214,147
215,17
216,47
217,736
218,27
219,60
220,58
221,2368
222,62
